날짜,별점,스킨타입,태그,리뷰내용
2025.10.31,5점,,,"쓰고 화장하면 쫀쫀해져서 화장 완전 잘 먹어요!
가볍고 여름에 쓰기 너무 좋은거 같아요! 여름에 무조건 추천! 다들 여름에 사서 써봐요!!"
2025.10.30,5점,,"한달이상사용, 재구매",엄청 오래 쓰고 있는 앰플이에요! 민감한 피부에도 너무 잘 맞고 트러블 올라오는거 하나도 없었어요! 전에 화장품 잘 못 써서 뒤집어진적이 있는데 이거 쓰니까 금방 진정되는거 같아용 앰플은 이걸로 계속 쓸거 같아요 만족합니당
2025.10.30,5점,,"한달이상사용, 재구매","4통째 쓰고 있어요! 제 피부가 엄청난 민감성인데 이거 써도 트러블 올라오는거 없었고 진정에 엄청 효과 좋았어용
세안 후 붉은기도 바로 없애주고 피부 쫀쫀하게 만들어줘서 너무 만족하고 잇습니다 앰플 이걸로 정착했어요!👍👍"
2025.10.29,4점,,,"악 건성 피부타입이구요 환절기여서 응급으로 쓸만한 제품찾다가 요게 보여서 썻어요 피부가 피날정도로 너무 아프고 그럴때 썼는데 자극은 최상이였어요 근데 꾸준히 쓰니깐 진정 효과를 보고 괜찮았고 자극도 덜했어요
아쉬운건 빨리 써서 용량 아쉬었습니다
고놓축 앰출이기때문에 소량만 써도 좋은 제품이에요 순한 제품이니 참고하시길 바랐게요"
2025.10.29,5점,,한달이상사용,"요즘 마스크 착용 때문에 트러블이 자주 올라와서
피부 진정용 앰플 찾다가 구매했어요.
한 달 동안 꾸준히 사용해보니, 진정 효과가 진짜 확실했어요💚

제형은 묽고 가벼워서 피부에 빠르게 스며들어요.
끈적임이 없고 흡수력도 좋아서
지성·복합성 피부도 부담 없이 사용 가능!

일주일 정도 지나면서부터
붉은기랑 좁쌀 트러블이 점점 가라앉기 시작했고,
2~3주차엔 피부 톤이 훨씬 균일해졌어요✨
특히 피지 조절이 잘 돼서 오후 번들거림이 줄었어요.

민감한 날에도 따갑거나 화끈거림 전혀 없었고,
세럼 다음 단계에 크림만 얹어줘도 하루 종일 촉촉함 유지💧
아침에도 가볍게 바르면 메이크업이 밀리지 않아서 데일리용으로 딱이에요.

무향이라 더 마음에 들었고,
한 달 써보니 전체적으로 피부 결이 매끈하고 맑아진 느낌!
진정·유분 밸런스 잡아주는 데 최고였어요🍃

👉 트러블·민감성 피부, 붉은기 있는 분들께 강력 추천!
한 달 써보니 “어성초 앰플은 역시 아누아”라는 말이 딱 맞아요💚"
2025.10.25,5점,,재구매,"여러분 이거입니다 정착하세요
피부 완전 민감한데 진정 수분 둘다 잡을 수 있어요 n번째 재구매 상품이에오"
2025.10.24,5점,"건성, 봄웜톤, 홍조",,진짜 몇통째 사는건지 모르겠네 쫀듯쫀득 미침 그냥 하... 사랑해
2025.10.23,5점,,,"진짜좋아욥
이거쓸생각에기분이조아짐
진짜최고실게여..."
2025.10.21,4점,,,앰플 진짜 좋은데.. 용량 크게 나와주면 좋겠어요 그거 말곤 진짜 좋아요
2025.10.21,5점,,한달이상사용,솔직히 기대안했는데 진정효과가 너무좋아서 재구매의사가 있습니다 잘쓰고있어요!!
2025.10.19,5점,,,저렴하고 발색좋고 지속력 좋아요 레전드로 강추합니당ㅇㅇ
2025.10.15,4점,,,처음에 사고 너무 좋았어서 재구매 했는데 다시 쓰니 큰 효과는 못봤어요 피부 진정에는 좋아요
2025.10.15,4점,"복합성, 쿨톤, 각질, 트러블",한달이상사용,"✰피부 타입✰
T존 수부지, U존은 악건성 가끔 올라오는 화농성 여드름+ 달고 사는 좁쌀..ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ 피부결이 안 좋은 편이에요

✰발림성✰
미끌미끌 콧물 같은 제형이구 흡수 되고 나면 피부가 쫀쫀해져요

✰효과✰
저는 잘 모르겠어요 ㅠ 여러면에서 다 애매한 느낌.. 좁쌀, 화농성 진정에도 효과를 못 봤고 피부 결이 좋아지는것두 아니고.. 순하고 약간의 보습을 채워주는 느낌만 받았어요

✰가성비✰
양 대비 가격 비싼 편인데 이 정도 성능이면 가성비 별루..

✰총평✰
어성초 잘 맞으시고 순한거 찾으시면 나쁘지 않을듯 합니다 벗. 나는 효과 못 봄¯꒳¯̥̥"
2025.10.15,3점,"복합성, 블랙헤드, 피지과다",,"꽤니 오랫동안 쫀쫀해서 놀랐어요 근데
집와서 거울보니 번들번들 전 화장도 안 하는데
피부상태가 꽤나 꼬질해보여서 놀라써요
재구매 안 항 것 가탕요
바를때는 미끄덩하고 시간지나면 쫀쫀한데
저한테는 +유분이어서 아쉽네요"
2025.10.14,5점,,"한달이상사용, 재구매",쫀쫀하고 촉촉해요 간절기나 겨울에 바르기 좋아요 한통다쓰고 또삿어요
2025.10.14,4점,,,"진정돠고 좋아요 보습으로 강력한거같아요 추천
해요오 데일리로 밤에 사용하기
젛을듯 흡수 잘되요 수분감 충분했어요"
2025.10.11,5점,,재구매,남자친구 피부가 건조하고 예민햐서 저본에 한번 사줬었는데 촉촉하다구해서 하나더 샀어용
2025.10.11,5점,"봄웜톤, 트러블, 민감성",,가격에 비해 용량은 너무 아쉽지만 그래도 진정에 효과가 뛰어난 것 같아용! 이거 쓰고 홍조가 줄어든 느낌이에요
2025.10.11,5점,,,"유명한걸로 아는데 어떨지 잘 모르게허여
기대됩미다아앙 굿"
2025.10.11,5점,,한달이상사용,사용하기 편하고 문제없고 좋아요 계속 손이 가네요 아주 괜찮습니다
2025.10.06,4점,"트러블성, 봄웜톤, 잡티, 트러블",한달이상사용,꾸준히 사용하니까 확실히 피부가 진정되는게 보이긴 했는데 빠른 효과를 바라시는 분들이 쓰시기엔 비추드려요
2025.10.03,5점,,한달이상사용,스킨 케어 세럼 여러개 써봤지만 무난하네요 다른제품도 써보고싶어요
2025.10.02,5점,,한달이상사용,남자친구가 피부 각질이렁 예민한 피부인데 이거는 피부도 안따가워서 좋았대용
2025.10.01,5점,,,아 진짜 이건 혁명임 진짜 ㄹㅈㄷ 와 이것만 지금 구라 하나도 안치고 10통 넘게 비운듯 여드름 났을때는 이거 발라주고 자면 여드름이 실종더ㅣ있음 ㄷㄷ
2025.10.01,5점,,한달이상사용,"딱히 엄청 좋은줄은 모르겠어요 ㅠㅠ
보습감도 그저 그렇고 향도 그저그래요 ㅎㅎ"
2025.10.01,4점,,재구매,어성초 세트바리로 바르려고 샀어요 진정에 좋은것 같고 복합성인데 잘 맞습니다.
2025.10.01,5점,,한달이상사용,30대 외국인 친구가 써보더니 이거 아주 맘에 들아합니다.
2025.09.24,5점,,"한달이상사용, 재구매",자극 일도 없고 보습에도 엄청 좋고요 쓰고 나서 화장 진짜 잘먹어요
2025.09.24,5점,,,친구 추천으로 구매했는데 역시는 역시에요…아누아 짱 이거쓰고 여드름 조금 없어졋어요 ㅎㅎ
2025.09.16,5점,,,여드름에 좋은 상품이에요. 향은 무향이고 역시 믿고 쓰는 아누아에요.
2025.09.13,5점,,,효과가 엄청 잘 나타나진 않지만 진정되는게 느껴져요 여드름성 피부에 추천합니다
2025.09.13,5점,,,"친구 아이한테 선물로 사서 보냈는데 사용하기 편하고..
진정효과도 있다고 합니다.
수고하세요"
2025.09.12,5점,,한달이상사용,"현재 이마 유분기 많은 복합성이고
안 무거워서 잘 쓰고 있어요
확실히 진정효과가 있는 듯 해요
브랜드도 넘나 믿을만한 브랜드라서 잘 쓰고 있습니댜!!"
2025.09.12,5점,,한달이상사용,사춘기딸이 이거 쓰고 피부 트러블이 안생긴다고 하네요. 진정에 효과가 좋은가봐요
2025.09.09,5점,,한달이상사용,건조한 사람들 이거 꼭 쓰셈 솔직히 아누아는 자극없고 진짜 피부에 너무 좋은 제품 이거 쓰면 피부 진짜 진정됨 제발 자기전에 얼굴에 바르고 자셈
2025.09.09,4점,,재구매,진정은 사실 잘 모르겠는데 흡수 잘 하면 완전 말랑쫀쪼니 그 잡채볶음밥이 돼서 화장전에 쓰면 조아요
2025.09.01,5점,,,남자친구 피부가 건조해서 사줬는데 촉촉하고 마음에 들어서 맨날 쓰고있대용
2025.08.31,5점,,,직장동료 선물로 샀어요. 아누아 팩 써보니 맘에들어서 믿고 사요.
2025.08.31,5점,,한달이상사용,수분 진정이러서 넘 좋은데 왜인지모르게 엄청ㅁ발리 다씀 양이좀적나..?
2025.08.30,5점,,"한달이상사용, 재구매",세일 때 구입해서 잘 사용하고 있어용 무난하게 사용하기 좋습니당
2025.08.30,5점,,,두통째 구매했어요 그녕저냥 아침에 세안하고 바르기 너무 좋아요 가성비 듸짐요
2025.08.29,5점,,,"아누아 라인 구매해서 바르고 있는데
자극을 느끼진 못했지만 아직 엄청난 효과도 못봤어요 ㅎㅎ
더 꾸준히 써볼게요"
2025.08.29,5점,,한달이상사용,"너무 너무 좋구요
비싼 만큼 효과도 좋은 거 같아요
다 쓰면 또 구매 할 예정 입니다"
2025.08.29,5점,,"한달이상사용, 재구매","너무 좋아요
계속 쓰면 진정도 됩니다
앞으로 진정엔 이 제품만 쓸 것 같아요"
2025.08.28,5점,,,"좁쌀 여드름이 있다?
이거 걍 토너랑 같아 쓰면 됨 바로 없어짐요"
2025.08.28,5점,"민감성, 봄웜톤, 블랙헤드",한달이상사용,아누아꺼 거의 다 좋았어서 앰플 아누아껄로 구매해봤는데 저는 딱히 뭐.. 좋은거 모르겠음 이 제품은 ㅠㅠ
2025.08.28,5점,"복합성, 쿨톤, 블랙헤드, 피지과다",한달이상사용,가격에 비해 효과는 조금 아쉬운...무난하게 데일리세럼으로좋아요
2025.08.27,5점,,재구매,진정효과가 뛰어나요 늘 좋아요 사계절 변화를 느껴요 아누아크림이랑 같이쓰면 더 좋아여
2025.08.27,5점,,,순하고 가성비 좋아서 세일 때 마다 꾸준히 사용하고있습니다!
2025.08.27,5점,"건성, 겨울쿨톤, 잡티, 미백",,쫀쫀해요 직원 분께 추천받아서 사봤는데 만족해여!!!!
2025.08.26,5점,,,"아누아 어성초 80 수분 진정 앰플 🌿💧 정말 만족해요!!
민감한 피부에도 자극 없이 촉촉하게 스며들고 ✨
붉은기 진정 효과가 눈에 띄게 좋아서 깜짝 놀랐어요 😍
끈적임 없고 가볍게 발리는데 보습감은 오래가서 👍
데일리 앰플로 딱이에요 💕

피부가 편안해지고 촉촉해져서 🥰
앞으로도 꾸준히 사용하려구요!! 💚💚

재구매 의사 200% 💖🙌"
2025.08.26,5점,,재구매,수분감이 풍부해서 피부가 촉촉해졌어요. 피부가 진정돼서 붉은기가 많이 줄었어요.
2025.08.26,5점,,,"아누아.제품으로 기초 갈아탓어요
특히앰플은 찐득한 제형인데 원래는 트러블이 나야하는데 이건트러블이안나서 맞더라구요
붉은기도 감소하고 보습도 충분해서 여름에도 만족하면서 쓰고있고 겨울은좀더 두껍게 바르면 충분할것같아서 강추.
또한.피지가 많거나 뾰루지가 올라올 때 써주면 피부 진정에 도움을 주고 꾸준히 쓰면 피부결이 정돈되고 울긋불긋한 자국도 완화되는것같아요."
2025.08.25,4점,,,"📌한통 다 비우고 작성하는 후기

✰피부 타입✰
T존 수부지, U존은 악건성 가끔 올라오는 화농성 여드름+ 달고 사는 좁쌀..ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ 피부결이 안 좋은 편이에요

✰발림성✰
묽고 미끌끈적해요 금반 흡수되는 타입이고 흠수 되고 나면 피부가 쫀득해져요 사용감이 가벼워서 화장 할 때 발라도 무난해요

✰효과✰
음..진정 되는데.. 큰 효과는 아니었어요 그렇다고 보습력이 뛰어난 편도 아니구..좁쌀에도 큰 효과는 없었는데 의외로 피부 결 정돈에는 또 괜찮더라구요 그래도 진정 효과를 기대하고 산거라 ㅜ

✰총평✰
무난하게 쓰기에는 나쁘지 않지만 굳이 이 돈 주고..? 민감성 피부에는 잘 맞을것 같아요"
2025.08.25,5점,,재구매,수분감이 진짜 장난이 아니네요 너무 좋아요 화장도 더 잘먹고요
2025.08.24,5점,"복합성, 겨울쿨톤, 잡티, 트러블",한달이상사용,쫀쫀하게 수분감도 채워주고 피부에 트러블 올라왔을때 진정에도 효과있어요.
2025.08.24,4점,"트러블성, 가을웜톤, 트러블",한달이상사용,좋긴한데 뭔가 재구매할정도로 진정에 큰효과는 못본거같아요 ㅠㅠ 가격이 저렴한것도 아니고 제품 자체는 좋긴해요
2025.08.23,5점,,,사용하기 편하고 문제없고 좋아요 계속 손이 가네요 아주 괜찮습니당
2025.08.23,3점,,,솔직히 진정에 좋은지는 모르겠어요 여름에 쓰기엔 무거운것같고 전 오히려 쓰고 뒤집어진... 호불호가 강하더라구요 어성초 성분이 엄청 좋다는 분들도 많았는데 전 그냥 그랬음 토너도 전 별로였어요 재구매 의사 없음
2025.08.21,5점,,"한달이상사용, 재구매",피부가 예민한 편인데 자극없이 촉촉해서 쓰기 좋아요. 2통째 쓰고 있어요
2025.08.20,5점,,,"사용해봤을때 진정에 좋았다고 느꼈는데 점점 기초가격들이 사악해지고 있는것같아요ㅠㅠ
저는좋았다고 느꼈어요!!"
2025.08.20,5점,,한달이상사용,지속력 좋고 좋게 발라죠요 지속력 굿굿 너무 좋은 것 같아요 예쁜 거 같네요 많이 파시면 좋은 거 같아요
2025.08.19,5점,,,"민감성, 트러블성, 붉은기 올라오는 피부에 최적화된 고농축 진정 세럼! 꾸준히 사용하면 피부 안정과 장벽 강화 효과를 볼 수 있어, 여드름 초기 케어나 피부 진정용으로 추천합니다."
2025.08.17,5점,,,좁쌀여드름도 살짝 사라지는거 같고 좋아요!! 근데 여름에 쓰기에는 좀 끈적거릴거같아요
2025.08.16,5점,,,세트로 아누아로 다 샀는데 괜찮은거같아요 끈적임도없고 흡수력이 좋아요
2025.08.16,1점,쿨톤,,"그냥 촉촉하기만 한.. 앰플인거같음 진정은 모르겠고
피부 예민한편이라 이거쓰고 뒤집어짐 민감성피부이신
분들은 참고하고 사시길 약간 무거운 앰플입니다!"
2025.08.11,5점,,,저는 사용하고 트러블이 많이 줄어들긴 했는데 저한테는 조금 끈적거리는 것 같네요.
2025.08.10,5점,,재구매,2통 째 입니다 이건 진짜 순해서 자극 1도 없어요 이 제품 솔직히 너무 좋아서 할 말이 없습니다 집에 100개 쟁여둬서 쓰고 싶네요
2025.08.08,5점,,,좋아요 잘써요 효과는 절 모르갰지먼 잘쓰는템이에요 재구매항거같어요
2025.08.08,5점,,한달이상사용,"다른 앰플에비해 흡수력이 좋고 보습,진정이 잘돼더라고요"
2025.08.08,4점,,한달이상사용,찐득한 제형이라 좀 무겁다고 느껴지긴 하는데 그래도 진정도 어느정도 괜찮고 전체적으로 나쁘지 않은 것 같아요 촉촉하고 진정도 잘돼서 무난무난하게 좋아요
2025.08.06,5점,,재구매,2번째 구매 해서 사용중입니다 저녁에 자기전에 하면 아침에 피부가 좋고 메이크업 하기전에 바르면 기초 화장에도 좋아서 피부화장도 잘돼서 좋습니다
2025.08.06,5점,,한달이상사용,직원분 추천 이후로 계속 이 앰플만 써요 무난하니 좋네요 추천이요
2025.08.05,5점,,재구매,개효놈임 난 저녁에 쓰는데 진정이 필요하다 싶어서 쓰면 그냥 담날에 피부 개좋아짐 계절 상관없이 사계절 내내 써도 개조음 리들샷이랑 같이 쓰면 더 효과 잘 봄. 민감성 친구들도 좋아서 따라사고 군대 간 주변 오빠들도 PX에서 사재기해서 사다주고 쓰는 제품 개추 박을게요
2025.12.12,5점,,,"처음에 직원 추천 받아서 샀는데, 정말 성분도 괜찮고 자극이 없어요"
2025.12.06,5점,,,어성초 함유량이 높은지 효과 진짜 즉각적이고 순해서 좋아요
2025.12.06,5점,,,촉촉곰성한테 좋다고 해서 섰눈데 와 ㄹㅇ 개좋음 아니 이렇게 촉촉한 세럼 첨봄 트러블은 모르겠는데 화장먹
2025.12.04,3점,,,아누아 브랜드를 워낙 좋아해서 클렌징부터 기초화장품 까지 아누아 브랜드 지만 이번엔 제 피부가 컨디션이 안좋은지 좁쌀이 많이 올라왔어요 지성이나 복합성인 분들은 소량만 덜어서 사용 하셔야 할듯 해요
2025.12.04,5점,,"한달이상사용, 재구매",외 안사;;; 진짜 찐찐 개애정품이에요 몇번째 재구매인지 써도써도 계속 손이 갑니다 이정도면 아누아 나한테 무료로 앰플한개 줘야함ㅎㅎ
2025.12.04,5점,,"한달이상사용, 재구매",진짜 몇번째 구매인지 모르게써요 완전 좋고 진정에도 좋고 딱 필요한 수분만 채워져서 너무너무 좋어요ㅠㅠㅠ 피부 붉응것도 잘 가라앉아욤
2025.11.28,5점,,,되게 쫀쫀한 제형인데 마무리감은 끈적이지 않아서 딱 좋아요
2025.11.27,5점,트러블성,,"아누아 제품이야 워낙에 유명하고
다른 세럼 쓰다가 트러블 세럼은
처음 써보는데 진정 효과가 좋네요ㅎㅎ"
2025.11.24,5점,,한달이상사용,"진짜좋아욥
이거쓸생각에기분이조아짐
진짜최고실게여..."
2025.11.23,4점,,한달이상사용,여드름성 피부에 좋아용 레이어링 하면서 발라줬더니 진정 효과가 좋더라구요
2025.11.15,3점,"복합성, 블랙헤드, 피지과다",한달이상사용,"딱히 자극은 없는데요 민감한 수부지복합성형이라 그런지
쫀쫀하게 마무리 되는데 문제는 겉만 쫀쫀해서 시간 지나고 만져보면 쫀쫀+개기름파티…재구매생각없습니다"
2025.11.13,5점,,한달이상사용,"아누아 너무 유명하주어ㅓ
사고싶어서 삿구여
존좋입니다여"
2025.11.12,5점,,"한달이상사용, 재구매",자극없이 순해서 남자친구 계속 사주는중 남찡구도 마음에들어함ㅎㅎ
2025.11.12,5점,,,자극이 없고 순하며 트러블 난 주위에 바르면 진정이 많이 되느것 같아요
2025.11.12,5점,,,올영 직원분한테 추천받아서 샀는데 바르면 개쫀쫀해져요 ㄹㅇ로 화장전에 바르면 쫀쫀피부 ㅆㄱㄴ
2025.11.10,3점,쿨톤,한달이상사용,어성초가 잘 맞는 타입인데 아누아 어성초는 안 맞았어요 ㅜ 피부 더 뒤집어지
2025.11.09,5점,,한달이상사용,"이곳두 5통째
바를땐 무난하다 생각햇는데 다른거 바르면 똑 여드름이 올라오더라구요 이거 진짜 생각없이 쓰고살면 좋을템"
